frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
18,5800,0.58,u010,-19500.0,-37651.293904158054,-5945.447445916623,-31705.84645824143,-31705.84645824143,-37651.30652012279,0.9999996020937428,3.979062571657366e-07,0.11134209116262139,0.26150483936995167
19,6000,0.6,u010,-19500.0,-37568.46192041956,-7255.200905831414,-30313.261014588148,-30313.261014588148,-37568.47511595883,0.9999995646945484,4.353054515737753e-07,0.10859453369742655,0.2598036681669668
20,6200,0.62,u010,-19500.0,-37541.27072852457,-7575.001828765351,-29966.26889975922,-29966.26889975922,-37541.28407686044,0.9999995545550227,4.454449772928193e-07,0.1080833462249134,0.2546702803595319
21,6400,0.64,u010,-19500.0,-37496.399245145294,-11898.864131400449,-25597.535113744845,-25597.535113744845,-37496.41487164034,0.9999993895320036,6.104679964313853e-07,0.1112013986138608,0.25478680691879524
22,6600,0.66,u010,-19500.0,-37547.57049484298,-17170.68012831206,-20376.89036653092,-20376.89036653092,-37547.59012490465,0.9999990366526246,9.63347375426693e-07,0.11192687085195019,0.26244653870823903
23,6800,0.68,u010,-19500.0,-37393.92793962199,-12849.59266201299,-24544.335277609003,-24544.335277609003,-37393.94423665061,0.9999993360175865,6.639824135512562e-07,0.10958556024831828,0.24960324189375907
24,7000,0.7000000000000001,u010,-19500.0,-37322.99136096591,-4756.290883328154,-32566.700477637758,-32566.700477637758,-37323.00364344597,0.9999996228518513,3.771481486558592e-07,0.10779552720358644,0.24759637095377054
25,7200,0.72,u010,-19500.0,-37311.638119569136,-10411.055828449724,-26900.582291119412,-26900.582291119412,-37311.65298912751,0.9999994472408893,5.52759110650225e-07,0.10930350331674307,0.2627662568360786
26,7400,0.74,u010,-19500.0,-37321.59023323169,-11039.614119109086,-26281.976114122604,-26281.976114122604,-37321.605452778604,0.999999420913815,5.790861850041296e-07,0.11042107142573082,0.24917958129402745
27,7600,0.76,u010,-19500.0,-37188.2899203508,-14237.879606053088,-22950.41031429771,-22950.41031429771,-37188.30734921986,0.9999992405868849,7.594131150590044e-07,0.10897622601041874,0.2540072888021113
28,7800,0.78,u010,-19500.0,-37155.20449145723,-15278.680583700392,-21876.52390775684,-21876.52390775684,-37155.22277588246,0.9999991642001835,8.357998164121305e-07,0.10878578516341986,0.2473880227751659
29,8000,0.8,u010,-19500.0,-37077.14970270565,-10529.824695857737,-26547.32500684791,-26547.32500684791,-37077.164770128555,0.9999994324322394,5.675677606231666e-07,0.11100918301859512,0.25887151532730385
