h12_kj_mol,rc,mean_evb_energy_kj_mol,counts
5.0,-0.12494446789555477,-36908.723043069505,2
10.0,-0.18154244005108014,-37269.7709839441,1
10.0,-0.18009120999581024,-37952.99217418331,2
10.0,-0.17863997994054037,-38094.201530603335,2
10.0,-0.1771887498852705,nan,0
10.0,-0.1757375198300006,-38824.60003068582,1
10.0,-0.17428628977473073,-36617.20576853967,1
10.0,-0.17283505971946084,-38007.36377898577,2
10.0,-0.17138382966419097,-37521.39295100332,2
10.0,-0.1699325996089211,-38039.22135345552,4
10.0,-0.1684813695536512,-38564.76092735931,1
10.0,-0.16703013949838133,-36408.01826538764,2
10.0,-0.16557890944311143,-37650.83015749762,4
10.0,-0.16412767938784156,-37692.145674472886,5
10.0,-0.1626764493325717,-37614.79858810522,3
10.0,-0.1612252192773018,-37872.01890922452,6
10.0,-0.15977398922203193,-37566.18816248153,5
10.0,-0.15832275916676203,-38785.93615319681,4
10.0,-0.15687152911149216,-37332.7437699381,6
10.0,-0.1554202990562223,-38469.50704067463,6
10.0,-0.1539690690009524,-37793.98310995877,3
10.0,-0.15251783894568252,-37070.770818738354,4
10.0,-0.15106660889041262,-37417.17762649985,6
10.0,-0.14961537883514275,-37984.2226437204,3
10.0,-0.14816414877987288,-37057.89981699015,3
10.0,-0.146712918724603,-37431.94515938722,2
10.0,-0.14526168866933312,-37611.2060875667,5
10.0,-0.14381045861406322,-37608.733287907395,4
10.0,-0.14235922855879335,-37406.06957462184,6
10.0,-0.14090799850352348,-37380.915015933475,1
10.0,-0.13945676844825358,-36149.281549570886,1
10.0,-0.1380055383929837,nan,0
10.0,-0.13655430833771381,-37653.51185578772,1
10.0,-0.13510307828244394,-37460.67691009049,1
10.0,-0.13365184822717407,nan,0
10.0,-0.13220061817190418,nan,0
10.0,-0.1307493881166343,nan,0
10.0,-0.1292981580613644,nan,0
10.0,-0.12784692800609454,-37116.30400823176,1
10.0,-0.12639569795082467,nan,0
10.0,-0.12494446789555477,-36908.7904456589,2
20.0,-0.18154244005108014,-37270.02551419836,1
20.0,-0.18009120999581024,-37953.12996853719,2
20.0,-0.17863997994054037,-38094.316962995246,2
20.0,-0.1771887498852705,nan,0
20.0,-0.1757375198300006,-38824.60306520904,1
20.0,-0.17428628977473073,-36617.436532694745,1
20.0,-0.17283505971946084,-38007.38885955331,2
20.0,-0.17138382966419097,-37521.54150309387,2
20.0,-0.1699325996089211,-38039.265268817595,4
20.0,-0.1684813695536512,-38564.76162714916,1
20.0,-0.16703013949838133,-36409.13411079404,2
20.0,-0.16557890944311143,-37651.069987947245,4
20.0,-0.16412767938784156,-37692.735401843056,5
20.0,-0.1626764493325717,-37615.050889179416,3
20.0,-0.1612252192773018,-37872.24974492158,6
20.0,-0.15977398922203193,-37566.42451159621,5
20.0,-0.15832275916676203,-38785.99542699542,4
20.0,-0.15687152911149216,-37332.99348479564,6
20.0,-0.1554202990562223,-38469.593028169846,6
20.0,-0.1539690690009524,-37794.176444570076,3
20.0,-0.15251783894568252,-37071.57751831589,4
20.0,-0.15106660889041262,-37417.92380031055,6
20.0,-0.14961537883514275,-37984.801727511505,3
20.0,-0.14816414877987288,-37058.242320000594,3
20.0,-0.146712918724603,-37432.360807605495,2
20.0,-0.14526168866933312,-37611.45072242166,5
20.0,-0.14381045861406322,-37608.840227956556,4
20.0,-0.14235922855879335,-37406.46584113905,6
20.0,-0.14090799850352348,-37380.92594199883,1
20.0,-0.13945676844825358,-36152.03909399087,1
20.0,-0.1380055383929837,nan,0
20.0,-0.13655430833771381,-37653.78387459107,1
20.0,-0.13510307828244394,-37460.68782702835,1
20.0,-0.13365184822717407,nan,0
20.0,-0.13220061817190418,nan,0
20.0,-0.1307493881166343,nan,0
20.0,-0.1292981580613644,nan,0
20.0,-0.12784692800609454,-37116.43557906468,1
