frame,step,time_ps,window_id,lambda,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
10,750,0.0375,w007,0.7,-20221.1343892566,-20813.60976881052,592.4753795539182,53946.315035887696,-103674.9205972865,0.26121762324966474,0.7387823767503352,0.024658740077073665,1,0.024658740077073665,0.2299879796586124,0.2125789212327312,0.18792018115565753
11,800,0.04,w007,0.7,-20958.295042322403,-22076.836941111043,1118.5418987886405,54472.38155512242,-104801.20166536677,0.25942615314491446,0.7405738468550855,-0.02905766425487924,0,-0.02905766425487924,0.24232653955768615,0.12432730473140058,0.15338496898627982
12,850,0.0425,w007,0.7,-18147.734442998408,-21205.63387118566,3057.899428187251,56411.73908452103,-103433.2086385375,0.2529251497659032,0.7470748502340968,0.014995641968014062,1,0.014995641968014062,0.2545314864770225,0.1715492713880161,0.15655362942000203
13,900,0.045,w007,0.7,-21188.33513334002,-20753.544442980205,-434.7906903598159,52919.048965973954,-103885.00593977899,0.2647504699935953,0.7352495300064047,-0.054040264146780564,0,-0.054040264146780564,0.26524887464824437,0.1332855741844883,0.18732583833126887
14,950,0.0475,w007,0.7,-17706.89370439666,-21496.01047181409,3789.1167674174285,57142.95642375121,-103539.52417459872,0.2505160384916899,0.7494839615083101,0.007951785427691704,1,0.007951785427691704,0.27312088465635326,0.15120476524732454,0.14325297981963284
15,1000,0.05,w007,0.7,-20253.163797965353,-20352.69993606193,99.5361380965769,53453.37579443036,-103343.19116947633,0.2629071649542364,0.7370928350457636,-0.02099105478237953,0,-0.02099105478237953,0.2759226500308139,0.17712976094998334,0.19812081573236287
16,1050,0.0525,w007,0.7,-14643.914541088396,-21575.71189519861,6931.797354110213,60285.637010443985,-102847.90508217542,0.2404218908412455,0.7595781091587546,0.0992386170377478,1,0.0992386170377478,0.27149422069266554,0.23825629058106396,0.13901767354331615
17,1100,0.055,w007,0.7,-20879.842347984402,-21239.695833138263,359.8534851538607,53713.69314148763,-104161.86413745515,0.262013618330508,0.737986381669492,-0.007919952672306357,0,-0.007919952672306357,0.26100440760287397,0.1887465112329552,0.19666646390526155
18,1150,0.0575,w007,0.7,-18086.24635628873,-22587.11902725911,4500.872670970377,57854.71232730415,-104453.15444505893,0.24819305518466067,0.7518069448153393,0.0358080495183237,1,0.0358080495183237,0.24786846765009501,0.17904634711650408,0.14323829759818038
19,1200,0.06,w007,0.7,-21985.881686830417,-22125.37886712415,139.49718029373253,53493.33683662751,-105105.36680094874,0.2627698065661467,0.7372301934338533,-0.03345790936382709,0,-0.03345790936382709,0.23559637238854372,0.15957746720500265,0.19303537656882974
20,1250,0.0625,w007,0.7,-17321.88597958922,-22786.850794692866,5464.964815103645,58818.80447143741,-104415.10856904194,0.2450810118385739,0.7549189881614261,0.07484006863280993,1,0.07484006863280993,0.2268136707416975,0.21595652393228523,0.1411164552994753
21,1300,0.065,w007,0.7,-20043.063118362104,-20367.385836313384,324.3227179512796,53678.16237428505,-103298.86584894056,0.2621354054889668,0.7378645945110331,0.009457958121611793,1,0.009457958121611793,0.2239432310482294,0.20059816547244252,0.19114020735083073
22,1350,0.0675,w007,0.7,-20497.476186418793,-23150.268629007805,2652.7924425890124,56006.6320989228,-105480.57725219615,0.25426972880432286,0.7457302711956771,0.012604047394044998,1,0.012604047394044998,0.2275549115047842,0.1566509477180491,0.1440469003240041
23,1400,0.07,w007,0.7,-22228.38608161606,-22633.25337293279,404.867291316732,53758.70694765051,-105543.63091821155,0.2618594052050617,0.7381405947949383,-0.026707411124868824,0,-0.026707411124868824,0.23577079690497982,0.1335398857055765,0.16024729683044533
