gap_kj_mol,mean_free_energy_kj_mol,std_free_energy_kj_mol
7499.999999999996,,
7833.333333333332,,
8166.666666666664,,
8499.999999999996,,
8833.333333333332,,
9166.666666666664,,
9499.999999999996,,
9833.333333333332,,
10166.666666666664,,
10499.999999999996,,
10833.333333333332,,
11166.666666666664,,
11499.999999999996,,
11833.333333333332,,
12166.666666666664,,
12499.999999999996,,
12833.333333333332,,
13166.666666666664,,
13499.999999999996,,
13833.333333333332,,
14166.666666666664,,
14499.999999999996,,
14833.333333333328,,
15166.66666666666,,
15499.999999999993,,
15833.333333333328,,
16166.666666666664,,
16499.999999999993,,
16833.33333333333,,
17166.666666666664,,
17499.999999999993,,
17833.33333333333,,
18166.666666666664,,
18499.999999999993,,
18833.33333333333,,
19166.666666666664,,
19499.999999999993,,
19833.33333333333,,
20166.666666666664,,
20499.999999999993,,
20833.33333333333,,
21166.666666666664,,
21499.999999999993,,
21833.33333333333,,
22166.666666666664,,
22499.999999999993,,
22833.33333333333,,
23166.666666666664,,
23499.999999999993,,
23833.33333333333,,
24166.666666666664,,
24499.999999999993,,
24833.33333333333,,
25166.666666666664,,
25499.999999999993,,
25833.33333333333,,
26166.666666666664,,
26499.999999999993,,
26833.33333333333,,
27166.666666666664,,
27499.999999999993,,
27833.33333333333,,
28166.666666666664,,
28499.999999999993,,
28833.33333333333,,
29166.666666666664,,
29499.999999999993,,
29833.33333333333,,
30166.666666666664,,
30499.999999999993,,
30833.33333333333,,
31166.666666666664,,
31499.999999999993,,
31833.33333333333,,
32166.666666666664,,
32499.999999999993,,
32833.33333333333,,
33166.666666666664,,
33499.99999999999,,
33833.33333333333,,
34166.666666666664,,
34499.99999999999,,
34833.33333333333,,
35166.666666666664,,
35499.99999999999,,
35833.33333333333,,
36166.666666666664,,
36499.99999999999,,
36833.33333333333,,
37166.666666666664,,
37499.99999999999,,
37833.33333333333,,
38166.666666666664,,
38499.99999999999,,
38833.33333333333,,
39166.666666666664,,
39499.99999999999,,
39833.33333333333,,
40166.666666666664,,
40499.99999999999,,
40833.33333333333,,
41166.666666666664,,
41499.99999999999,,
41833.33333333333,,
42166.666666666664,,
42499.99999999999,,
42833.33333333333,,
43166.666666666664,,
43499.99999999999,,
43833.33333333333,,
44166.666666666664,,
44499.99999999999,,
44833.33333333333,,
45166.666666666664,,
45499.99999999999,,
45833.33333333333,,
46166.666666666664,,
46499.99999999999,,
46833.33333333333,,
47166.666666666664,,
47499.99999999999,,
47833.33333333333,,
48166.666666666664,,
48499.99999999999,,
48833.33333333333,,
49166.666666666664,,
49499.99999999999,,
49833.33333333333,,
