frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
10,130000,13.0,u007,-41800.0,-33296.34494185954,8114.625732183049,-41410.97067404259,-41410.97067404259,-33296.354601133404,0.9999997667461256,2.332538744931334e-07,0.11263965608889127,0.30270280324638055
11,140000,14.0,u007,-41800.0,-33409.92863832522,7253.1596427964105,-40663.08828112163,-40663.08828112163,-33409.93847525399,0.9999997580871391,2.4191286085439856e-07,0.10353266769628425,0.2690373772385066
12,150000,15.0,u007,-41800.0,-33461.058558533055,14815.700511955045,-48276.7590704881,-48276.7590704881,-33461.06684409197,0.9999998283738132,1.7162618676236363e-07,0.1120545198167,0.31361796923187507
13,160000,16.0,u007,-41800.0,-33454.99727966104,3291.0986909573257,-36746.095970618364,-36746.095970618364,-33455.00816516795,0.9999997037644361,2.9623556385693917e-07,0.10774138688539481,0.2629231695111561
14,170000,17.0,u007,-41800.0,-33410.82775395812,10453.575067259051,-43864.40282121717,-43864.40282121717,-33410.83687296786,0.9999997921091963,2.0789080368288637e-07,0.1106593728247706,0.27819850356786896
15,180000,18.0,u007,-41800.0,-33474.672048136505,10928.819261939178,-44403.49131007568,-44403.49131007568,-33474.681056435336,0.9999997971264216,2.0287357843651321e-07,0.1122422165750826,0.25515302049533206
16,190000,19.0,u007,-41800.0,-33641.71373878795,10528.589388085995,-44170.30312687394,-44170.30312687394,-33641.72279464425,0.9999997949787086,2.0502129138844083e-07,0.10959677355070863,0.28675764951333205
17,200000,20.0,u007,-41800.0,-33396.648903014546,2373.09911130977,-35769.748014324316,-35769.748014324316,-33396.66008564504,0.9999996873720357,3.1262796429398776e-07,0.10616492140392333,0.2793969478054386
18,210000,21.0,u007,-41800.0,-33694.01514294493,14750.58625183368,-48444.60139477861,-48444.60139477861,-33694.02339979751,0.9999998295609929,1.704390071299855e-07,0.10753505507547069,0.2523148534853822
19,220000,22.0,u007,-41800.0,-33522.342891659035,4699.305039321451,-38221.647930980485,-38221.647930980485,-33522.353356929685,0.9999997261953503,2.738046497308133e-07,0.11346097955011736,0.29739614249397694
20,230000,23.0,u007,-41800.0,-33690.9375618936,3503.9769254059356,-37194.91448729954,-37194.91448729954,-33690.94831604884,0.9999997108704466,2.891295534657168e-07,0.10914154781657902,0.3124315903448171
21,240000,24.0,u007,-41800.0,-33339.851685778645,9481.432124501647,-42821.28381028029,-42821.28381028029,-33339.861026925784,0.9999997818574728,2.1814252709750903e-07,0.10881959061324245,0.25627427788656826
22,250000,25.0,u007,-41800.0,-33318.6068466783,17572.463556723844,-50891.07040340215,-50891.07040340215,-33318.61470660216,0.9999998455540163,1.5444598366887163e-07,0.10737710651513391,0.257504585463048
23,260000,26.0,u007,-41800.0,-33190.20682041239,12869.697244620096,-46059.90406503249,-46059.90406503249,-33190.215504753636,0.9999998114555785,1.8854442151994277e-07,0.10864311810357123,0.2880549516590912
24,270000,27.0,u007,-41800.0,-33512.62113106676,9548.767315352306,-43061.38844641906,-43061.38844641906,-33512.63042012891,0.9999997842833573,2.1571664265973567e-07,0.10589299542607379,0.2737297723277418
25,280000,28.0,u007,-41800.0,-33255.07757456662,15503.259488101932,-48758.33706266855,-48758.33706266855,-33255.085778290464,0.9999998317473158,1.6825268422948625e-07,0.10659343907805682,0.2998641851682389
26,290000,29.0,u007,-41800.0,-33471.93147591493,4194.39292823826,-37666.32440415319,-37666.32440415319,-33471.942095477454,0.9999997180623087,2.81937691304357e-07,0.10855544922468735,0.28310787747106136
27,300000,30.0,u007,-41800.0,-33357.03998220258,11529.934869958233,-44886.97485216081,-44886.97485216081,-33357.048893471874,0.9999998014732385,1.985267615300934e-07,0.10831286437961447,0.2564119713667109
28,310000,31.0,u007,-41800.0,-33234.91675419666,11451.452781831991,-44686.36953602865,-44686.36953602865,-33234.92570547026,0.9999997996867925,2.003132074657188e-07,0.110407517875425,0.26243701853081963
29,320000,32.0,u007,-41800.0,-33153.59375925697,7102.5875193128595,-40256.18127856983,-40256.18127856983,-33153.603695616766,0.9999997531719458,2.46828054162318e-07,0.10973045559325238,0.320033401725521
